titre,annee,realisateur,note_presse,note_spectateurs,url
Le Seigneur des anneaux : le retour du roi de Peter Jackson,17 décembre 2003,17 décembre 2003,3.8,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=39187.html
Les Evadés de Frank Darabont,1 mars 1995,1 mars 1995,3.2,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=11736.html
Le Parrain de Francis Ford Coppola,18 octobre 1972,18 octobre 1972,4.6,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=1628.html
12 hommes en colère de Sidney Lumet,4 septembre 1957,4 septembre 1957,5.0,4.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=4063.html
La Ligne verte de Frank Darabont,1 mars 2000,1 mars 2000,2.8,4.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=22779.html
La Liste de Schindler de Steven Spielberg,2 mars 1994,2 mars 1994,4.2,4.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=9393.html
Forrest Gump de Robert Zemeckis,5 octobre 1994,5 octobre 1994,2.6,4.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=10568.html
Le Seigneur des anneaux : la communauté de l'anneau (version longue) de Peter Jackson,4 septembre 2024,4 septembre 2024,4.6,,https://www.allocine.fr/film/fichefilm_gen_cfilm=327721.html
Le Seigneur des anneaux : les deux tours (version longue) de Peter Jackson,4 septembre 2024,4 septembre 2024,4.6,,https://www.allocine.fr/film/fichefilm_gen_cfilm=327723.html
Le Seigneur des anneaux : le retour du roi (version longue) de Peter Jackson,4 septembre 2024,4 septembre 2024,4.6,,https://www.allocine.fr/film/fichefilm_gen_cfilm=327724.html
